,neighbourhood_group,neighbourhood,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
78,Puente de Vallecas,Palomeras Bajas,0,0,0,0,0,1,1,3,1,0,6,51
79,Puente de Vallecas,Palomeras Sureste,0,0,0,0,1,2,1,3,0,2,3,23
80,Puente de Vallecas,Portazgo,0,0,0,0,0,2,2,0,1,0,3,18
81,Puente de Vallecas,San Diego,0,0,1,0,2,4,2,14,7,7,30,131
82,Retiro,Adelfas,0,0,0,0,1,1,1,5,1,6,22,50
83,Retiro,Estrella,0,0,0,0,0,1,0,2,0,0,5,13
84,Retiro,Ibiza,0,0,0,0,4,3,11,8,2,2,20,136
85,Retiro,Jerónimos,0,0,0,0,1,4,0,4,2,1,11,67
86,Retiro,Niño Jesús,0,0,0,0,0,0,2,3,1,1,5,37
87,Retiro,Pacífico,1,0,0,1,2,16,7,11,6,6,27,164
88,Salamanca,Castellana,0,1,0,1,4,1,4,9,5,7,22,93
89,Salamanca,Fuente del Berro,0,0,0,0,0,2,4,9,5,2,9,62
90,Salamanca,Goya,0,0,0,0,2,6,5,17,5,6,36,216
91,Salamanca,Guindalera,0,0,0,0,3,5,7,7,8,4,46,185
92,Salamanca,Lista,0,0,0,0,0,8,5,1,6,4,12,123
93,Salamanca,Recoletos,0,0,0,1,2,4,4,15,4,9,27,168
94,San Blas - Canillejas,Amposta,0,0,0,0,0,1,0,0,0,0,0,6
95,San Blas - Canillejas,Arcos,0,0,0,0,1,0,0,3,2,1,5,19
96,San Blas - Canillejas,Canillejas,0,0,0,0,1,0,0,4,1,3,6,44
97,San Blas - Canillejas,Hellín,0,0,0,0,0,0,0,0,1,1,2,13
98,San Blas - Canillejas,Rejas,0,0,0,0,0,0,1,1,4,3,9,55
99,San Blas - Canillejas,Rosas,0,0,0,0,0,0,0,2,0,1,4,22
100,San Blas - Canillejas,Salvador,0,0,0,0,0,0,0,0,1,0,2,14
101,San Blas - Canillejas,Simancas,0,0,0,0,1,1,0,6,2,7,9,59
102,Tetuán,Almenara,0,0,0,0,1,2,2,3,2,2,8,88
103,Tetuán,Bellas Vistas,0,0,0,0,0,6,3,8,4,5,16,107
104,Tetuán,Berruguete,0,0,0,0,3,1,2,2,3,1,18,90
105,Tetuán,Castillejos,0,0,0,0,3,1,5,14,4,5,37,85
106,Tetuán,Cuatro Caminos,0,0,0,1,5,3,5,15,9,4,23,167
107,Tetuán,Valdeacederas,0,0,0,0,0,1,4,5,1,1,14,74
108,Usera,Almendrales,0,0,0,0,0,1,1,3,0,2,10,61
109,Usera,Moscardó,0,0,0,0,0,0,4,7,0,1,10,94
110,Usera,Orcasitas,0,0,0,0,0,0,0,1,0,0,0,17
111,Usera,Orcasur,0,0,0,0,0,1,1,4,1,0,7,43
112,Usera,Pradolongo,0,0,0,0,0,0,0,6,0,1,2,27
113,Usera,San Fermín,0,0,0,0,0,0,0,2,1,1,4,30
114,Usera,Zofío,0,0,0,0,0,1,0,1,0,1,6,19
115,Vicálvaro,Ambroz,0,0,0,0,0,0,0,0,0,1,1,9
116,Vicálvaro,Casco Histórico de Vicálvaro,0,0,0,0,1,1,0,1,0,1,10,20
117,Villa de Vallecas,Casco Histórico de Vallecas,0,0,0,2,0,0,2,5,2,2,5,55
118,Villa de Vallecas,Santa Eugenia,0,0,0,0,0,0,0,0,1,0,0,7
119,Villaverde,Butarque,0,0,0,0,0,0,0,1,0,2,2,14
120,Villaverde,Los Angeles,0,0,0,0,0,0,0,2,0,1,4,21
121,Villaverde,Los Rosales,0,0,0,0,0,0,0,3,3,0,3,30
122,Villaverde,San Andrés,0,0,0,0,0,0,0,3,1,1,5,36
123,Villaverde,San Cristobal,0,0,0,0,0,0,3,0,0,1,4,14
