,id,neighbourhood_cleansed
295,1121429,Palacio
296,1126038,Goya
297,1130775,Trafalgar
298,1130788,Trafalgar
299,1133140,Embajadores
300,1146228,Embajadores
301,1161437,Rios Rosas
302,1162707,Gaztambide
303,1168731,San Andrés
304,1174292,Los Rosales
305,1176241,Cortes
306,1182242,Pacífico
307,1184735,Sol
308,1209383,Palos de Moguer
309,1209661,Delicias
310,1220946,Sol
311,1227155,Sol
312,1230570,Justicia
313,1248292,Sol
314,1251520,Palacio
315,1254418,Delicias
316,1254955,Palos de Moguer
317,1255811,Delicias
318,1256157,Palacio
319,1256570,Embajadores
320,1263062,Delicias
321,1263329,Delicias
322,1266548,Palacio
323,1267730,Sol
324,1272747,Palacio
325,1272897,Argüelles
326,1273055,Universidad
327,1274889,Almagro
328,1275293,San Juan Bautista
329,1281843,Sol
330,1289823,Casco Histórico de Vicálvaro
331,1296584,Cortes
332,1297217,Cortes
333,1298830,Atocha
334,1302691,Universidad
335,1309325,Valdefuentes
336,1311739,Cuatro Caminos
337,1316794,Palacio
338,1320674,Palacio
339,1326972,Universidad
340,1330726,Embajadores
341,1331106,Cortes
342,1334684,Arapiles
343,1335588,Justicia
344,1336818,Nueva España
345,1338318,Cortes
346,1343630,Almagro
347,1346747,Embajadores
348,1357593,Universidad
349,1362092,Justicia
350,1362476,Universidad
351,1380233,Universidad
352,1395084,El Viso
353,1398273,Cortes
354,1408400,Palacio
355,1426027,Palacio
356,1426530,Opañel
357,1427336,Universidad
358,1430003,Palacio
359,1431541,Rios Rosas
360,1434789,Palacio
361,1443639,Palos de Moguer
362,1458472,Embajadores
363,1463482,Valverde
364,1473278,Goya
365,1482007,Goya
366,1485339,Arcos
367,1491263,Goya
368,1496117,Embajadores
369,1500875,Palacio
370,1507595,Ventas
371,1522608,Justicia
372,1523675,Universidad
373,1529540,Casco Histórico de Vallecas
374,1532354,Embajadores
375,1547100,Cármenes
376,1569343,Lista
377,1575287,Pacífico
378,1579108,Universidad
379,1586115,Puerta del Angel
380,1593044,Gaztambide
381,1595592,Rejas
382,1596257,Cortes
383,1600919,Embajadores
384,1607436,Universidad
385,1608296,Justicia
386,1609815,Ibiza
387,1610861,Justicia
388,1621371,Palacio
389,1622564,Palacio
390,1623202,Acacias
391,1626586,Cortes
392,1628485,Cortes
393,1630249,Argüelles
394,1636170,Cortes
395,1642412,Ventas
396,1644183,Prosperidad
397,1644403,Embajadores
398,1659406,Justicia
399,1659585,Universidad
400,1661283,Embajadores
401,1665067,Moscardó
402,1680271,Sol
403,1683393,Simancas
404,1691073,Sol
405,1695083,Universidad
406,1698916,Cortes
407,1710251,Goya
408,1710892,Embajadores
409,1716687,Cortes
410,1737408,Fontarrón
411,1737767,Cortes
412,1740906,Justicia
413,1742289,Palacio
414,1750838,Embajadores
415,1755242,Sol
416,1757983,Palos de Moguer
417,1758199,Universidad
418,1762237,Universidad
419,1763683,Universidad
420,1765529,Palacio
421,1766697,Universidad
422,1774049,Palos de Moguer
423,1775014,Justicia
424,1779465,Palacio
425,1785371,Cortes
426,1788097,Universidad
427,1788102,Palacio
428,1790920,Universidad
429,1811287,Universidad
430,1819060,Palos de Moguer
431,1829496,Guindalera
432,1846297,Pacífico
433,1854759,Cármenes
434,1858255,Universidad
435,1859046,Universidad
436,1863038,Palacio
437,1864170,Justicia
438,1865189,Arapiles
439,1883013,Justicia
440,1901306,Embajadores
441,1910871,Palacio
442,1917537,Justicia
443,1921558,Imperial
444,1926546,Embajadores
445,1927108,Trafalgar
446,1928731,Embajadores
447,1942059,Embajadores
448,1956571,Universidad
449,1958786,Justicia
450,1973442,Embajadores
451,1990801,Cortes
452,1994074,Universidad
453,2001012,Universidad
454,2010660,Cuatro Caminos
455,2052303,Aluche
456,2052361,Embajadores
457,2052383,Ventas
458,2054398,Berruguete
459,2062465,Sol
460,2064355,Sol
461,2065647,Universidad
462,2068722,Sol
463,2068792,Sol
464,2068796,Sol
465,2069026,Sol
466,2070887,Universidad
467,2079509,Universidad
468,2084773,Sol
469,2087574,Embajadores
470,2091802,Embajadores
471,2096590,Universidad
472,2100370,Universidad
473,2101315,Sol
474,2114493,Sol
475,2117068,Trafalgar
476,2117115,Justicia
477,2129245,San Isidro
478,2143824,Sol
479,2143882,Sol
480,2143906,Palacio
481,2143943,Sol
482,2143961,Sol
483,2144000,Sol
484,2144017,Embajadores
485,2179527,Palacio
486,2186049,Pinar del Rey
487,2188662,Sol
488,2192321,Comillas
489,2207832,Gaztambide
490,2207960,Palos de Moguer
491,2224238,Castilla
492,2247751,Palacio
493,2254525,Embajadores
494,2289744,Embajadores
495,2294171,Sol
496,2299045,Universidad
497,2302853,Sol
498,2310368,Prosperidad
499,2313370,Sol
500,2319136,Niño Jesús
501,2325516,Delicias
502,2338390,Embajadores
503,2342966,Pueblo Nuevo
504,2343687,Justicia
505,2346257,Sol
506,2355344,Cortes
507,2358924,Trafalgar
508,2362731,Arcos
509,2364463,Embajadores
510,2377816,Universidad
511,2387880,Sol
512,2388144,Palacio
513,2391600,Imperial
514,2399601,Almagro
515,2408887,Trafalgar
516,2416770,Cortes
517,2452815,Sol
518,2471370,Universidad
519,2472459,Justicia
520,2482267,Argüelles
521,2487986,Palos de Moguer
522,2488934,Justicia
523,2500666,Universidad
524,2503991,Palacio
525,2520674,Fuente del Berro
526,2520679,Fuente del Berro
527,2530433,Embajadores
528,2549655,Universidad
529,2551440,Palacio
530,2558321,Embajadores
531,2587493,El Viso
532,2588548,Ibiza
533,2604097,Universidad
534,2604787,Embajadores
535,2622839,Justicia
536,2630840,Palacio
537,2632012,Universidad
538,2650925,Sol
539,2652829,Sol
540,2658189,Almagro
541,2673231,Trafalgar
542,2673648,Rios Rosas
543,2676912,Sol
544,2686592,Universidad
545,2698131,Justicia
546,2706194,Embajadores
547,2707743,Universidad
548,2711470,Universidad
549,2731786,Palacio
550,2736479,Embajadores
551,2744523,Palos de Moguer
552,2761815,Palacio
553,2820486,Palos de Moguer
554,2846776,Palacio
555,2847041,Cortes
556,2862015,Universidad
557,2895896,Embajadores
558,2900380,Universidad
559,2906165,Justicia
560,2907259,Universidad
561,2916917,Trafalgar
562,2917180,Palos de Moguer
563,2917257,Atocha
564,2926676,Valdezarza
565,2943509,Universidad
566,2943575,Universidad
567,2954743,Justicia
568,2963086,Sol
569,2964048,Sol
570,2965741,Pacífico
571,2997382,Universidad
572,3001427,Universidad
573,3004372,Universidad
574,3011110,Embajadores
575,3012570,Universidad
576,3012762,Universidad
577,3018510,Puerta del Angel
578,3028371,Embajadores
579,3042518,Sol
580,3045724,Universidad
581,3046856,Universidad
582,3046879,Universidad
583,3047780,Universidad
584,3048220,Chopera
585,3058834,Universidad
586,3068254,Universidad
587,3082182,Palacio
588,3093756,Embajadores
589,3097328,Embajadores
590,3107033,Castilla
591,3113226,Palacio
592,3143400,Justicia
593,3143872,Argüelles
594,3146468,Justicia
595,3150635,Universidad
596,3166047,Embajadores
597,3173331,Cortes
598,3175720,Justicia
599,3184859,Palacio
600,3187973,Universidad
601,3189209,Palacio
602,3196382,Bellas Vistas
603,3203777,Universidad
604,3211626,Embajadores
605,3222534,Universidad
606,3222550,Cortes
607,3223429,Palacio
608,3224985,Cortes
609,3254399,Embajadores
610,3255468,Cortes
611,3264794,Guindalera
612,3277613,Universidad
613,3285554,Embajadores
614,3285747,Universidad
615,3297333,Argüelles
616,3300064,Embajadores
617,3306584,Sol
618,3312444,Palacio
619,3318664,Sol
620,3322399,Embajadores
621,3323284,Embajadores
622,3338631,Chopera
623,3341990,Universidad
624,3351904,Argüelles
625,3356511,Delicias
626,3360988,Delicias
