,index,neighbourhood_group,neighbourhood,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
63,63,Latina,Puerta del Angel,,,,18.5,15.0,45.0,45.0,35.0,35.5,46.5,46.0,59.0
64,64,Moncloa - Aravaca,Aravaca,,,,,,,100.0,110.0,48.0,65.0,99.0,65.0
65,65,Moncloa - Aravaca,Argüelles,,,,,32.5,40.0,38.0,59.0,105.5,28.5,27.0,125.0
66,66,Moncloa - Aravaca,Casa de Campo,,,,40.0,,61.5,63.5,200.0,54.0,90.5,52.0,70.0
67,67,Moncloa - Aravaca,Ciudad Universitaria,,,,,55.0,100.0,31.5,25.0,25.0,35.0,35.0,41.5
68,68,Moncloa - Aravaca,El Plantío,,,,,,,,41.0,,,154.0,85.0
69,69,Moncloa - Aravaca,Valdemarín,,,,,,,,140.0,,,,130.0
70,70,Moncloa - Aravaca,Valdezarza,,,,,60.0,23.0,,264.0,23.0,54.0,50.0,40.0
71,71,Moratalaz,Fontarrón,,,,,,,,36.0,25.0,24.0,35.0,33.0
72,72,Moratalaz,Marroquina,,,,,,,,500.0,37.0,,,46.5
73,73,Moratalaz,Media Legua,,,,,,,,33.0,,,33.0,40.0
74,74,Moratalaz,Pavones,,,,,,24.0,,40.0,,,33.0,66.0
75,75,Moratalaz,Vinateros,,,,,,17.0,,30.0,18.5,44.0,35.0,47.5
76,76,Puente de Vallecas,Entrevías,,,,,,,,,,406.0,48.0,39.0
77,77,Puente de Vallecas,Numancia,,,,,30.0,33.0,30.0,38.5,52.0,496.5,81.0,58.0
78,78,Puente de Vallecas,Palomeras Bajas,,,,,,25.0,600.0,80.0,45.0,,39.5,31.0
79,79,Puente de Vallecas,Palomeras Sureste,,,,,36.0,13.0,59.0,20.0,,15.5,60.0,41.0
80,80,Puente de Vallecas,Portazgo,,,,,,34.0,12.0,,11.0,,45.0,38.0
81,81,Puente de Vallecas,San Diego,,,45.0,,40.0,27.5,259.0,26.5,43.0,52.0,62.5,65.0
82,82,Retiro,Adelfas,,,,,35.0,50.0,55.0,41.0,60.0,73.5,61.0,91.0
83,83,Retiro,Estrella,,,,,,16.0,,92.0,,,100.0,113.0
84,84,Retiro,Ibiza,,,,,40.5,38.0,49.0,99.5,111.5,95.5,70.0,103.0
85,85,Retiro,Jerónimos,,,,,114.0,81.5,,69.0,76.0,224.0,151.0,143.0
86,86,Retiro,Niño Jesús,,,,,,,76.5,80.0,78.0,20.0,119.0,135.0
87,87,Retiro,Pacífico,19.0,,,350.0,35.0,28.5,50.0,50.0,50.0,50.5,60.0,79.5
88,88,Salamanca,Castellana,,110.0,,50.0,54.5,29.0,63.5,100.0,99.0,113.0,160.5,169.0
89,89,Salamanca,Fuente del Berro,,,,,,24.0,39.0,29.0,59.0,117.5,91.0,104.0
90,90,Salamanca,Goya,,,,,40.5,120.0,31.0,73.0,70.0,109.5,113.0,134.0
91,91,Salamanca,Guindalera,,,,,45.0,33.0,56.0,63.0,94.0,91.0,131.0,105.0
92,92,Salamanca,Lista,,,,,,89.5,95.0,30.0,59.5,26.5,79.5,121.0
93,93,Salamanca,Recoletos,,,,95.0,71.0,81.5,190.0,39.0,166.0,39.0,146.0,160.0
94,94,San Blas - Canillejas,Amposta,,,,,,1000.0,,,,,,50.0
