id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,bathrooms,accommodates,bedrooms,host_is_superhost,beds,availability_30,monthly_occupancy,month,day,district_key,neighborhood_key,neighbourhood_group,median_price,how_expensive,predict
30899002,40.47116,-3.68691,63,2,188,3.45,7,1.0,2,,0.0,1.0,7,0.7666666666666667,5,25,12,35,Chamartín,93.0,14.0,68.74786474896769
31094749,40.39158,-3.68832,81,3,10,0.18,174,1.0,2,,0.0,1.0,24,0.2,12,10,8,100,Arganzuela,81.0,12.0,97.83574312407728
31098237,40.43678,-3.64406,16,90,11,0.22,200,1.0,1,,,1.0,3,0.9,5,28,5,64,Ciudad Lineal,54.0,6.0,21.92731258094499
30906714,40.39751,-3.71809,101,3,82,1.52,41,1.0,4,2.0,0.0,3.0,9,0.7,4,30,18,59,Carabanchel,55.0,7.0,106.73877212371649
31108830,40.43307,-3.69193,100,4,25,0.46,281,2.0,5,2.0,0.0,5.0,4,0.8666666666666667,5,14,4,10,Chamberí,88.0,13.0,147.18314850127754
30907256,40.39896,-3.71658,95,3,69,1.27,34,1.0,4,2.0,0.0,4.0,5,0.8333333333333334,5,18,18,59,Carabanchel,55.0,7.0,89.25488295531066
31110520,40.41546,-3.70022,239,1,2,0.14,294,1.0,2,1.0,0.0,1.0,29,0.03333333333333333,2,26,1,19,Centro,106.0,15.0,177.8288528118538
31115421,40.42967,-3.70984,60,2,251,4.74,286,1.0,2,,0.0,1.0,6,0.8,6,4,1,1,Centro,106.0,15.0,73.70435181217103
31115699,40.42972,-3.70822,60,2,199,3.69,287,1.0,2,,0.0,1.0,5,0.8333333333333334,6,8,1,1,Centro,106.0,15.0,74.09324638070802
30920584,40.40877,-3.69291,169,1,184,3.39,289,1.0,6,2.0,1.0,4.0,10,0.6666666666666666,5,30,1,6,Centro,106.0,15.0,168.72954196907375
31115906,40.4299,-3.71018,60,2,173,3.3,310,1.0,2,,0.0,2.0,8,0.7333333333333333,5,27,1,1,Centro,106.0,15.0,86.07598735287728
31116055,40.42959,-3.70826,60,3,153,2.92,309,1.0,2,,0.0,2.0,3,0.9,5,28,1,1,Centro,106.0,15.0,80.75675223400218
30925546,40.42503,-3.71345,127,2,124,2.3,283,1.0,6,2.0,0.0,3.0,4,0.8666666666666667,6,4,2,3,Moncloa - Aravaca,74.0,10.0,140.87234449147903
31116159,40.41093,-3.71795,156,2,174,3.23,279,2.0,5,3.0,0.0,5.0,3,0.9,6,2,1,4,Centro,106.0,15.0,185.9708537154172
30930646,40.42663,-3.69449,180,2,17,0.34,0,1.0,2,1.0,0.0,1.0,0,1.0,12,30,1,5,Centro,106.0,15.0,112.44518074121804
31119930,40.4169,-3.70852,81,2,189,3.57,297,2.0,4,2.0,0.0,3.0,3,0.9,5,9,1,2,Centro,106.0,15.0,155.32886463874254
30935616,40.42062,-3.70294,81,3,120,2.21,296,1.0,2,1.0,0.0,1.0,3,0.9,6,8,1,1,Centro,106.0,15.0,91.78971103180112
31133458,40.404646,-3.675561,68,2,19,0.36,69,1.0,2,1.0,0.0,2.0,11,0.6333333333333333,4,17,6,20,Retiro,88.0,13.0,104.75628985721052
30948431,40.42233,-3.70614,149,2,183,3.41,245,1.0,4,2.0,0.0,3.0,9,0.7,5,25,1,1,Centro,106.0,15.0,134.00451462437832
31137348,40.41163,-3.69648,39,1,156,2.92,63,1.0,2,,,1.0,4,0.8666666666666667,6,2,1,19,Centro,106.0,15.0,49.29552953758439
30949073,40.42233,-3.70614,102,1,143,2.69,254,1.0,3,1.0,0.0,2.0,14,0.5333333333333333,5,26,1,1,Centro,106.0,15.0,128.0382510995
31141654,40.42233,-3.70181,102,2,179,3.31,299,1.0,4,1.0,0.0,1.0,9,0.7,5,12,1,1,Centro,106.0,15.0,109.5305883061297
